name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,firstName,lastName,aerialWon,shotOffTarget,outfielderBlock,wasFouled,expectedGoals,aerialLost,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,errorLeadToAShot,keyPass,accurateCross,blockedScoringAttempt,bigChanceMissed,totalOffside,goals,penaltyWon
Erling Haaland,erling-haaland,E. Haaland,F,9,194,807088,M,EHaaland,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",14.0,12.0,,,0.0,3.0,4.0,10.0,2.0,2.0,,,,,,89.0,24.0,8.2,4.0,0.0166731,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,,4.0,2.0,,1.0,,,,,,1.0,,1.0,,,2.0,,,,1.7203,2.0,2.0,1.9696,,,,,,,,2.0,
Stefan Ortega,stefan-ortega,S. Ortega,G,18,186,10750,M,stefan.ortega1,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",7.0,3.0,6.0,2.0,0.0,1.0,1.0,6.0,,2.0,,3.0,,3.0,,21.0,12.0,7.2,4.0,0.00029728,"{'original': 7.2, 'alternative': 7.3}",0,1.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",11.0,9.0,,,0.0,1.0,1.0,11.0,,,,,,,,21.0,23.0,7.2,6.0,0.00639861,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,8.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,2.0,0.0543,,1.0,0.0395,,,,,,,,,1.0
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",3.0,3.0,,,0.0,1.0,1.0,2.0,,1.0,,,,,,1.0,4.0,,,0.00191779,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,18816,M,matheusnunes,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,Rico Lewis,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Bobb,oscar-bobb,O. Bobb,M,52,174,17188,M,oscarbobb,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,Oscar Bobb,,,,,,,,,,,,,,,,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,JGrealish,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
