name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,fouls,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,bigChanceCreated,totalTackle,unsuccessfulTouch,wasFouled,keyPass,dispossessed,totalContest,outfielderBlock,interceptionWon,challengeLost,wonContest,wonTackle,bigChanceMissed,shotOffTarget,expectedGoals,firstName,lastName,blockedScoringAttempt,hitWoodwork,totalOffside,goalAssist,onTargetScoringAttempt,expectedGoalsOnTarget,goals,accurateKeeperSweeper
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",17.0,16.0,2.0,2.0,5.0,5.0,1.0,7.0,6.0,2.0,1.0,2.0,,,,,89.0,28.0,7.0,4.0,0.0975826,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,NJackson11,11.0,12.0,,,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,0.577,Nicolas Jackson,,,,1.0,,,,,
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,52393,M,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",25.0,22.0,2.0,,8.0,9.0,1.0,7.0,5.0,,6.0,1.0,,,,,48.0,42.0,7.7,10.0,0.0457667,"{'original': 7.7, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Nkunku,14.0,19.0,3.0,,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,0.3375,,,,,,,1.0,0.5544,1.0,
Reece James,reece-james,R. James,D,24,180,50164,M,885908,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944611200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس جيمس', 'hi': 'रीस जेम्स', 'bn': 'রিস জেমস'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'hi': 'आर. जेम्स', 'bn': 'আর. জেমস'}}",7.0,7.0,,,2.0,2.0,,1.0,1.0,,1.0,,,,,,19.0,13.0,5.8,3.0,0.0020371,"{'original': 5.8, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ReeceJ,5.0,6.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",5.0,4.0,2.0,1.0,2.0,3.0,,2.0,,,2.0,2.0,,,,,21.0,8.0,6.6,1.0,0.00062406,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Sterling7,2.0,2.0,,,,,,,,,,,,1.0,,,,,,0.0362,,,,,,,1.0,0.0259,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",3.0,1.0,2.0,,,1.0,,1.0,,3.0,,,,,,,11.0,7.0,6.5,2.0,0.00115931,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ThiagoSilva,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",,,,,,,1.0,1.0,1.0,2.0,,,,,,,1.0,2.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,l.ugochukwu8,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,cesarecasadei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,marcusbettss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,LColwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Chilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
